20000	0.0285995523837477	0.0270375592749071
15886	0.0284809391005339	0.0213560460702582
12618	0.0284751281907593	0.0167934274220629
10022	0.0284744399417273	0.0130830868390685
7960.4	0.0285410460859545	0.0100486593567426
6322.8	0.0285942734836362	0.00764353946167963
5022.1	0.0287358222693647	0.00563172411391983
3989	0.0289156211981131	0.00399975044384033
3168.4	0.0291402334777378	0.00260575779619636
2516.6	0.0293926201415632	0.00143022194276452
1998.9	0.0296727770024452	0.0004322058089239
1587.7	0.0300348702334985	-0.000415914482365225
1261.1	0.0304212063645333	-0.00114124081100588
1001.7	0.0308214642565607	-0.00177985278758403
795.6	0.031225658511716	-0.00241303787204464
631.93	0.0316919313711868	-0.0029421978949258
501.93	0.0321627352715066	-0.00355541518936083
398.68	0.0326374561549615	-0.00410890478357198
316.66	0.0331426392934387	-0.00476638334086577
251.52	0.0337116398656173	-0.00550459121557053
199.78	0.0343178333953497	-0.00640000751756458
158.68	0.0350601749082039	-0.00740673545499224
126.04	0.0359104209670747	-0.0085811786797114
100.11	0.036976978765965	-0.00991129168827606
79.516	0.0382855469076289	-0.0114276212075306
63.158	0.039831530085635	-0.0130749407237814
50.166	0.0418537918697031	-0.0148684387921706
39.846	0.0440474184408293	-0.016655250946772
31.649	0.0467377105450182	-0.0185428410615011
25.138	0.0498549092275645	-0.020310892361677
19.967	0.0524062616638796	-0.0245835851528235
15.859	0.0566244576454439	-0.0238053147108098
12.597	0.0606752826040953	-0.0240986663253388
10.006	0.0653806696031895	-0.0249625427316545
7.9472	0.0703659291165911	-0.0253705602802031
6.3124	0.0751057709191739	-0.0241810528457274
5.0138	0.0786047974678428	-0.0239589712772317
3.9824	0.0835762283349032	-0.0233294857825139
3.1631	0.0855545043158839	-0.0222814623856804
2.5124	0.0884035118275846	-0.0210091504564568
1.9956	0.0910822339362608	-0.022015709594485
1.5851	0.093546245910697	-0.0203039659524139
1.259	0.0955757608683158	-0.0209198201299729
1	0.100063541898126	-0.0210555521504665

